"time_indes","date","year","month","day","ATC","relative_humidity","Act_VP_kPa","SD_kPa","Corrected_SD_kPa","PAR","wind","rain","Dr..Inv.rel.dist.Earth.Sun.","Delta.Solar.decli.","WS.Sunset.hour.angle.","Ra.Extraterrst.radi.","Rso.Clear.sky.sol.rad.","Rns.sol.radi..MJ.m2.d","Rnl.Net.outgo.longwav.rad.","Delta.Slope.of.the.sat.vp.","ETwind..mm.day.","Etrad.mm.day.","ET0_potential_evp","X30day_run_total_rain","X30day_run_total_ET0","X30day_run_toal_ET0_rain"
1,"1996/1/1",1996,1,1,-0.770546163313567,0.682336502573219,0.0996238235115884,-0.740691773818845,-0.790155986812947,-1.07967741739322,-1.02033891656298,0.28904675684744,1.40207527432054,-1.38419297402275,-1.40109036752807,-1.856919023856,-1.85691902089931,-1.07580512800651,-0.973054487180029,-0.75605938983189,-0.736067444224894,-1.0003825884971,-1.0721104190497,NA,NA,NA
2,"1996/1/2",1996,1,2,-1.18198142804147,1.00833634070015,0.105284729600699,-1.05541862693902,-1.11550624299875,-1.50349700022252,-1.04905295714024,0.519412936195078,1.40145494897855,-1.37926547876031,-1.39552443455664,-1.83671609394683,-1.83671609352127,-1.50075837175416,-1.43431084946396,-1.13621183871789,-0.806940203545742,-1.41995932151733,-1.4154466835914,NA,NA,NA
3,"1996/1/3",1996,1,3,-1.13555842250801,0.901264159103156,0.0486756687095852,-0.971362764807619,-1.02861312915337,-1.41457913813345,-1.02457045938489,-0.376455539045736,1.40042131116149,-1.37393424214694,-1.38951015651143,-1.81509991064107,-1.81509991025041,-1.41160266633328,-1.3437643862985,-1.0937313755295,-0.787079110010725,-1.33373656404538,-1.34252347379474,NA,NA,NA
4,"1996/1/4",1996,1,4,-1.34309656489289,0.935483103737247,-0.112345660047364,-0.983102410356697,-1.04074903890831,-1.26403690851021,-0.870162325393503,-0.521500911227582,1.39897461260773,-1.36820083779052,-1.38305106439392,-1.79208997631936,-1.79208998127141,-1.26065775645769,-1.19424851795519,-1.28283622471311,-0.77747088225619,-1.21656526441761,-1.25119558461968,NA,NA,NA
5,"1996/1/5",1996,1,5,-1.44231436103302,0.931435701683752,-0.190969355729467,-0.97605862302725,-1.03346749305535,-1.60322773569089,-0.984327623568345,-0.0351723103825689,1.39711531483767,-1.36206696559712,-1.37615090413611,-1.7677072068752,-1.76770720660743,-1.60075587364877,-1.57538832284648,-1.37250893950529,-0.784356313578848,-1.51773817602323,-1.47797937068139,NA,NA,NA
6,"1996/1/6",1996,1,6,-0.782379478449548,0.941370233996876,0.367573378396198,-0.98811132579097,-1.04592702707042,-1.47996998989474,-0.181413962614794,-0.214346005430732,1.39484396328447,-1.35553443811722,-1.36881372871358,-1.74197389074363,-1.74197389360226,-1.47716843008856,-1.3877534698743,-0.767108743765971,-0.731973449165187,-1.4854410575456,-1.43057293639372,NA,NA,NA
7,"1996/1/7",1996,1,7,-0.681341172288491,0.735443323456952,0.277627870535871,-0.816816853179311,-0.868850619401655,-0.865492417205009,0.757621522278314,0.348771321863494,1.3921612292505,-1.34860519419953,-1.36104371391939,-1.71491368207255,-1.71491368699139,-0.86104721122523,-0.739461725384282,-0.672541889669008,-0.51167037819768,-1.03504298567803,-0.997543284549694,NA,NA,NA
8,"1996/1/8",1996,1,8,-1.14193020758124,0.755680333724424,-0.128070399183784,-0.831374013660168,-0.883899147497782,-1.57463669633047,-0.200671800355331,0.613265824077449,1.38906790990731,-1.3412812819237,-1.35284537329455,-1.68655158706574,-1.68655158638426,-1.57208835725534,-1.54037192307106,-1.09956818964936,-0.641000714733314,-1.56355972403367,-1.44793051507451,NA,NA,NA
9,"1996/1/9",1996,1,9,-1.010853486075,0.739245428416294,-0.0129653087051844,-0.803564097759463,-0.855150525722743,-1.154646672823,-0.984176497038991,5.59600096255969,1.38556488633927,-1.33356486884065,-1.34422331249314,-1.65691390935419,-1.65691391129975,-1.15097491629885,-1.07409284230266,-0.979098946697896,-0.743577580219245,-1.08075086122752,-1.13516377534036,NA,NA,NA
10,"1996/1/10",1996,1,10,-0.773276928344947,0.985033116755787,0.419150522763658,-1.02933052571884,-1.08853755465443,-1.47923111021382,-1.04706672275444,5.44242350966127,1.3816532494127,-1.32545823855918,-1.33518241350852,-1.62602826365335,-1.62602826620169,-1.47642757376323,-1.38657806890759,-0.758609765227263,-0.801716916537788,-1.3874295686349,-1.38894920695878,NA,NA,NA
